0               	0               	1               	0.25            
0.1             	0.0046630102622 	0.67562557924   	0.15561         
0.2             	0.021871615583  	0.42244224422   	0.09159         
0.3             	0.057909280163  	0.24623115578   	0.05022         
0.4             	0.12103835746   	0.13366336634   	0.0251          
0.5             	0.22048120921   	0.066666666667  	0.01105         
0.6             	0.36273665507   	0.029574861368  	0.00405         
0.7             	0.54396580402   	0.0109002826    	0.00111         
0.8             	0.74107800178   	0.002849002849  	0.00018         
0.9             	0.91107775238   	0.00031735956839	1e-05           
1               	1               	0               	1e-05           
/
